data_series,total_dereg,cat_a,cat_b
  2023 Feb,3522,848,711
  2023 Jan,2976,808,699
  2022 Dec,3472,857,742
  2022 Nov,4341,1424,990
  2022 Oct,3440,1028,779
  2022 Sep,3702,1010,906
  2022 Aug,3663,961,906
  2022 Jul,3562,953,888
  2022 Jun,3899,1089,849
  2022 May,3501,955,921
  2022 Apr,4131,1128,977
  2022 Mar,5618,1641,1363
  2022 Feb,3834,1042,947
  2022 Jan,4412,1383,1199
  2021 Dec,4165,1097,1167
  2021 Nov,4218,1198,1165
  2021 Oct,4119,1243,1328
  2021 Sep,3920,1039,1240
  2021 Aug,4266,1256,1336
  2021 Jul,4125,1249,1332
  2021 Jun,5344,1864,1680
  2021 May,5457,1872,1798
  2021 Apr,4926,1607,1647
  2021 Mar,6055,1918,1804
  2021 Feb,4315,1268,1198
  2021 Jan,4706,1383,1427
  2020 Dec,5021,1425,1590
  2020 Nov,4972,1506,1582
  2020 Oct,5027,1518,1659
  2020 Sep,5264,1537,1705
  2020 Aug,5617,1750,1790
  2020 Jul,5379,1697,1762
  2020 Jun,5095,1756,1599
  2020 May,3762,1184,852
  2020 Apr,4976,1707,1394
  2020 Mar,7976,2397,2279
  2020 Feb,6240,1778,2030
  2020 Jan,6749,2239,2111
  2019 Dec,7169,2145,2270
  2019 Nov,7043,2143,2126
  2019 Oct,7077,2192,2127
  2019 Sep,6794,2146,2103
  2019 Aug,6944,2176,2123
  2019 Jul,8332,2450,2510
  2019 Jun,6931,2001,2262
  2019 May,7847,2316,2265
  2019 Apr,8636,2724,2412
  2019 Mar,10429,3477,2891
  2019 Feb,7168,2570,2160
  2019 Jan,9320,3438,2534
  2018 Dec,9344,3465,2661
  2018 Nov,9601,3872,2688
  2018 Oct,9726,3656,2634
  2018 Sep,9174,3886,2556
  2018 Aug,9543,4001,2749
  2018 Jul,10396,4213,2916
  2018 Jun,9585,3823,2757
  2018 May,9874,3653,2873
  2018 Apr,9238,3604,2783
  2018 Mar,9557,3310,3043
  2018 Feb,6763,2458,2238
  2018 Jan,9331,3778,3244
  2017 Dec,9446,3440,3261
  2017 Nov,9035,3371,2939
  2017 Oct,9411,3554,3055
  2017 Sep,9178,3495,3019
  2017 Aug,9891,3720,2945
  2017 Jul,9843,3762,2995
  2017 Jun,9261,3886,2813
  2017 May,9503,4074,2962
  2017 Apr,9768,3914,2585
  2017 Mar,16091,4428,3107
  2017 Feb,8869,3588,2570
  2017 Jan,10080,4389,2916
  2016 Dec,9720,4513,2853
  2016 Nov,9835,4463,3115
  2016 Oct,9440,4475,2875
  2016 Sep,9367,3798,2756
  2016 Aug,9295,4027,2666
  2016 Jul,9534,4244,2652
  2016 Jun,9334,4064,2712
  2016 May,9759,4493,2957
  2016 Apr,11146,4575,3011
  2016 Mar,13580,5937,3890
  2016 Feb,8679,4105,2579
  2016 Jan,9918,4497,3060
  2015 Dec,10032,4580,2683
  2015 Nov,9503,4216,2634
  2015 Oct,9892,4496,2529
  2015 Sep,9103,3756,2308
  2015 Aug,8358,3252,1939
  2015 Jul,7976,3798,2382
  2015 Jun,7931,3761,2362
  2015 May,7689,3627,2191
  2015 Apr,8207,3618,2289
  2015 Mar,9448,4030,2416
  2015 Feb,5337,2142,1474
  2015 Jan,7383,3174,2095
  2014 Dec,5767,2263,1719
  2014 Nov,5379,2068,1449
  2014 Oct,5488,2080,1433
  2014 Sep,5142,1875,1312
  2014 Aug,4892,1415,1224
  2014 Jul,4834,1507,1217
  2014 Jun,4133,1291,1127
  2014 May,3876,1271,1101
  2014 Apr,4858,1347,1068
  2014 Mar,5805,1330,1308
  2014 Feb,3917,1104,926
  2014 Jan,3630,1011,927
  2013 Dec,3307,804,776
  2013 Nov,3372,759,712
  2013 Oct,3388,798,719
  2013 Sep,2828,719,639
  2013 Aug,2975,643,595
  2013 Jul,3512,722,732
  2013 Jun,3688,713,782
  2013 May,3689,971,909
  2013 Apr,4156,1033,1007
  2013 Mar,3781,864,729
  2013 Feb,2922,601,651
  2013 Jan,3883,702,693
  2012 Dec,3153,600,604
  2012 Nov,3071,546,615
  2012 Oct,3210,569,624
  2012 Sep,2968,479,510
  2012 Aug,3001,531,554
  2012 Jul,2966,571,542
  2012 Jun,2522,513,511
  2012 May,2756,591,593
  2012 Apr,2963,578,665
  2012 Mar,2910,604,714
  2012 Feb,2502,542,589
  2012 Jan,2327,438,502
  2011 Dec,2331,423,555
  2011 Nov,2325,480,576
  2011 Oct,1964,445,476
  2011 Sep,2071,363,455
  2011 Aug,5503,3780,498
  2011 Jul,3310,1386,531
  2011 Jun,3274,1261,539
  2011 May,3666,1427,538
  2011 Apr,2920,966,552
  2011 Mar,4117,1047,809
  2011 Feb,2576,561,436
  2011 Jan,2923,707,564
  2010 Dec,2858,828,617
  2010 Nov,2929,829,745
  2010 Oct,2992,873,718
  2010 Sep,2913,834,726
  2010 Aug,3217,916,810
  2010 Jul,3806,1068,909
  2010 Jun,3596,1131,898
  2010 May,3175,1006,733
  2010 Apr,3195,908,702
  2010 Mar,4357,1595,1260
  2010 Feb,3400,1337,1012
  2010 Jan,4269,1743,1264
  2009 Dec,3969,1480,1237
  2009 Nov,3612,1348,962
  2009 Oct,3832,1494,1093
  2009 Sep,3900,1492,1132
  2009 Aug,4197,1624,1186
  2009 Jul,4837,2012,1400
  2009 Jun,5131,2252,1483
  2009 May,5012,2268,1478
  2009 Apr,5200,2487,1542
  2009 Mar,6977,3241,1972
  2009 Feb,5791,2983,1709
  2009 Jan,5644,2779,1480
  2008 Dec,6825,3303,1844
  2008 Nov,6305,3172,1751
  2008 Oct,6338,3085,1821
  2008 Sep,6797,3299,2047
  2008 Aug,5947,2825,1791
  2008 Jul,6771,3269,2161
  2008 Jun,6559,3230,1968
  2008 May,6190,3103,1930
  2008 Apr,6980,3498,2022
  2008 Mar,6848,3486,2045
  2008 Feb,5282,2549,1631
  2008 Jan,7078,3288,2151
  2007 Dec,5706,2805,1740
  2007 Nov,5143,2473,1636
  2007 Oct,6542,3135,1990
  2007 Sep,5877,2750,1749
  2007 Aug,6092,2852,1809
  2007 Jul,6336,3110,1978
  2007 Jun,6736,3318,2043
  2007 May,7584,3605,2138
  2007 Apr,7882,3798,2232
  2007 Mar,8660,4235,2423
  2007 Feb,6725,3495,1980
  2007 Jan,8272,4319,2532
  2006 Dec,7617,4027,2356
  2006 Nov,8229,4323,2481
  2006 Oct,7604,3835,2409
  2006 Sep,7785,3571,2252
  2006 Aug,8631,4719,2187
  2006 Jul,9166,4873,2424
  2006 Jun,8251,4434,2293
  2006 May,8957,4610,2429
  2006 Apr,9775,4660,2486
  2006 Mar,11503,5974,3010
  2006 Feb,8390,4329,2041
  2006 Jan,8901,4755,2333
  2005 Dec,9487,4782,2379
  2005 Nov,9461,4791,2595
  2005 Oct,9799,4779,2607
  2005 Sep,8788,4588,2384
  2005 Aug,9138,4499,2287
  2005 Jul,10827,4983,2534
  2005 Jun,9766,4853,2365
  2005 May,9581,4783,2228
  2005 Apr,10582,5317,2632
  2005 Mar,12136,6559,2725
  2005 Feb,7661,4001,1877
  2005 Jan,10235,5282,2246
  2004 Dec,9772,5123,2207
  2004 Nov,9330,4970,2162
  2004 Oct,10062,4866,2225
  2004 Sep,9086,4380,2200
  2004 Aug,8916,4232,2069
  2004 Jul,9359,4554,2131
  2004 Jun,9194,4717,2240
  2004 May,9555,4888,2164
  2004 Apr,9571,4992,2104
  2004 Mar,11658,6340,2479
  2004 Feb,9765,5487,2008
  2004 Jan,8602,4536,1851
  2003 Dec,9834,5059,2263
  2003 Nov,8738,4830,1767
  2003 Oct,9211,4964,1834
  2003 Sep,9238,4873,2042
  2003 Aug,8346,4179,1805
  2003 Jul,9900,5194,2156
  2003 Jun,8924,4508,2012
  2003 May,9712,4994,2091
  2003 Apr,9490,4714,2006
  2003 Mar,9829,5105,1883
  2003 Feb,7403,3929,1548
  2003 Jan,9085,4490,1995
  2002 Dec,7786,4050,1676
  2002 Nov,7431,3545,1623
  2002 Oct,7465,3483,1601
  2002 Sep,7658,3368,1649
  2002 Aug,7865,3543,1717
  2002 Jul,8722,3785,1860
  2002 Jun,7320,3039,1589
  2002 May,7181,3103,1598
  2002 Apr,9542,3883,1910
  2002 Mar,10858,5038,2344
  2002 Feb,6453,2998,1480
